หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
GLOBAL,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),SET,บริการ,พาณิชย์,232 หมู่ที่ 19 ตำบลรอบเมือง อำเภอเมืองร้อยเอ็ด ร้อยเอ็ด,45000,0-4361-9850-99,0-4351-9777,www.globalhouse.co.th
GLOCON,บริษัท โกลบอล คอนซูเมอร์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 60 ชั้น 2 ซอยประดิษฐ์มนูธรรม 19 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กทม.,10230,0-2712-5487-88,0-2712-5750,www.glocon.co.th
GOLDPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โกลด์,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,10400,0-2673-3999,-,-
GPI,บริษัท กรังด์ปรีซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,4/299 หมู่ที่ 5 ซอยลาดปลาเค้า 66 ถนนลาดปลาเค้า แขวงอนุสาวรีย์ เขตบางเขน กทม.,10220,0-2522-1731-8,0-2971-6462,www.grandprix.co.th
GPSC,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้น 5 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2140-4600,0-2140-4601,http://www.gpscgroup.com
GRAMMY,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,"อาคารจีเอ็มเอ็ม แกรมมี่ เพลส, 50 ถนนสุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กทม.",10110,0-2669-9000,0-2669-9009,www.gmmgrammy.com
GRAND,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด(มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,เลขที่ 388 อาคารเอ็กเชน ทาวเวอร์ ชั้น 32 ห้องเลขที่ 3203-4 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม.,10110,0-2204-9900,0-2204-9996-9,http://www.grandeasset.com
GREEN,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,405 ถนนบอนด์สตรีท ซอย 13 ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี,11120,0-2504-5234-42,0-2504-5244-45,www.greenresources.co.th
GROREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ รอยัล ออคิด โฮสพีทาลิตี้ ที่มีข้อตกลงในการซื้อคืน,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,"989 อาคารสยามพิวรรธน์ทาวเวอร์ ชั้น 9,24 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กทม.",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GSC,บริษัท โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด (มหาชน),mai,บริการ,-,เลขที่ 2991/14-15 อาคารวิสุทธานี ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กทม.,10240,0-2793-3999,0-2793-3944,www.gsc-servicecenter.com
GSTEEL,บริษัท จี สตีล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,เลขที่ 88 ปาโซ่ ทาวเวอร์ ชั้น 18 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,10500,0-2634-2222,0-2634-4114,www.gsteel.com
GTB,บริษัท เจตาแบค จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,335/7 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม.,10250,0-2366-0400,0-2366-0399,http://www.getabecboiler.com
GULF,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,87 อาคารเอ็มไทย ทาวเวอร์ ออลซีซั่น เพลส ชั้น 11 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2080-4499,0-2080-4455,www.gulf.co.th
